order,phase,model_slot,attempt,submission_id,status,path
1,pilot,model_A,1,pilot_model_A_01,NOT_STARTED,submissions/pilot/model_A/01
2,pilot,model_B,1,pilot_model_B_01,NOT_STARTED,submissions/pilot/model_B/01
3,pilot,model_C,1,pilot_model_C_01,NOT_STARTED,submissions/pilot/model_C/01
4,formal,model_C,2,formal_model_C_02,NOT_STARTED,submissions/formal/model_C/02
5,formal,model_B,1,formal_model_B_01,NOT_STARTED,submissions/formal/model_B/01
6,formal,model_B,5,formal_model_B_05,NOT_STARTED,submissions/formal/model_B/05
7,formal,model_A,5,formal_model_A_05,NOT_STARTED,submissions/formal/model_A/05
8,formal,model_B,3,formal_model_B_03,NOT_STARTED,submissions/formal/model_B/03
9,formal,model_C,1,formal_model_C_01,NOT_STARTED,submissions/formal/model_C/01
10,formal,model_B,4,formal_model_B_04,NOT_STARTED,submissions/formal/model_B/04
11,formal,model_B,2,formal_model_B_02,NOT_STARTED,submissions/formal/model_B/02
12,formal,model_A,3,formal_model_A_03,NOT_STARTED,submissions/formal/model_A/03
13,formal,model_C,3,formal_model_C_03,NOT_STARTED,submissions/formal/model_C/03
14,formal,model_A,2,formal_model_A_02,NOT_STARTED,submissions/formal/model_A/02
15,formal,model_C,5,formal_model_C_05,NOT_STARTED,submissions/formal/model_C/05
16,formal,model_A,1,formal_model_A_01,NOT_STARTED,submissions/formal/model_A/01
17,formal,model_A,4,formal_model_A_04,NOT_STARTED,submissions/formal/model_A/04
18,formal,model_C,4,formal_model_C_04,NOT_STARTED,submissions/formal/model_C/04
